date_time,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,traffic_volume,is_holiday,weather_type,weather_description
2017-05-18 00:00:00,133.0,60.666666666666664,1.0,18.0,3.0,3.0,285.15,0.0,0.0,90.0,0,None,Drizzle,light intensity drizzle
2017-05-18 01:00:00,190.5,56.0,1.0,351.0,1.5,1.5,284.79,0.0,0.0,90.0,0,None,Mist,heavy intensity rain
2017-05-18 02:00:00,98.66666666666667,49.0,1.0,27.0,2.0,2.0,284.29,0.0,0.0,90.0,0,None,Drizzle,drizzle
2017-05-18 03:00:00,147.0,60.0,2.0,36.0,4.0,4.0,283.51,0.0,0.0,90.0,0,None,Drizzle,heavy intensity rain
2017-05-18 04:00:00,156.66666666666666,75.0,2.0,78.0,5.333333333333333,5.333333333333333,283.09,0.0,0.0,90.0,0,None,Drizzle,heavy intensity rain
2017-05-18 05:00:00,165.66666666666666,84.0,1.0,93.0,1.6666666666666667,1.6666666666666667,282.55,0.0,0.0,90.0,0,None,Drizzle,drizzle
2017-05-18 06:00:00,87.0,84.0,1.0,101.0,5.5,5.5,282.01,0.0,0.0,90.0,0,None,Drizzle,heavy intensity drizzle
2017-05-18 07:00:00,231.0,67.0,2.0,169.0,4.0,4.0,281.77,0.0,0.0,90.0,0,None,Drizzle,drizzle
2017-05-18 08:00:00,125.66666666666667,60.333333333333336,3.3333333333333335,171.33333333333334,4.666666666666667,4.666666666666667,281.83,0.0,0.0,90.0,0,None,Drizzle,light intensity drizzle
2017-05-18 09:00:00,153.33333333333334,49.666666666666664,3.6666666666666665,166.0,4.0,4.0,282.27,0.0,0.0,90.0,0,None,Drizzle,light intensity drizzle
2017-05-18 10:00:00,123.0,47.0,0.0,169.0,7.0,7.0,282.46,0.0,0.0,90.0,0,None,Drizzle,light intensity drizzle
2017-05-18 11:00:00,181.0,45.0,5.0,183.0,1.0,1.0,282.95,0.0,0.0,90.0,0,None,Rain,light rain
2017-05-18 12:00:00,71.0,45.0,5.0,183.0,4.0,4.0,283.08,0.0,0.0,90.0,0,None,Rain,light rain
2017-05-18 13:00:00,138.0,45.0,5.0,183.0,5.0,5.0,283.61,0.0,0.0,75.0,0,None,Rain,light rain
2017-05-18 14:00:00,125.0,57.0,4.0,189.0,1.0,1.0,284.09,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 15:00:00,117.0,57.0,4.0,189.0,9.0,9.0,284.62,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 16:00:00,227.0,57.0,4.0,189.0,2.0,2.0,284.65,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 17:00:00,213.0,65.0,4.0,191.0,2.0,2.0,284.88,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 18:00:00,154.0,65.0,4.0,191.0,9.0,9.0,284.84,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 19:00:00,46.0,65.0,4.0,191.0,3.0,3.0,284.75,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 20:00:00,45.0,68.0,3.0,199.0,9.0,9.0,285.01,0.0,0.0,90.0,0,None,Clouds,overcast clouds
2017-05-18 21:00:00,111.0,68.0,3.0,199.0,4.0,4.0,283.9,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-18 22:00:00,140.0,68.0,3.0,199.0,4.0,4.0,281.96,0.0,0.0,40.0,0,None,Clouds,scattered clouds
2017-05-18 23:00:00,206.0,73.0,4.0,195.0,9.0,9.0,281.09,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 00:00:00,288.0,73.0,4.0,195.0,7.0,7.0,280.49,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 01:00:00,56.0,73.0,4.0,195.0,7.0,7.0,280.09,0.0,0.0,1.0,0,None,Mist,mist
2017-05-19 02:00:00,223.0,64.0,4.0,207.0,9.0,9.0,279.62,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 03:00:00,43.0,64.0,4.0,207.0,3.0,3.0,279.75,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 04:00:00,227.0,64.0,4.0,207.0,4.0,4.0,279.88,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 05:00:00,168.0,61.0,5.0,222.0,9.0,9.0,279.82,0.0,0.0,1.0,0,None,Clear,sky is clear
2017-05-19 06:00:00,44.0,61.0,5.0,222.0,7.0,7.0,279.35,0.0,0.0,1.0,0,None,Clear,sky is clear
