date_time,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,traffic_volume,is_holiday,weather_type,weather_description
2012-10-02 09:00:00,121.0,89.0,2.0,329.0,1.0,1.0,288.28,0.0,0.0,40.0,5545.0,None,Clouds,scattered clouds
2012-10-02 10:00:00,178.0,67.0,3.0,330.0,1.0,1.0,289.36,0.0,0.0,75.0,4516.0,None,Clouds,broken clouds
2012-10-02 11:00:00,113.0,66.0,3.0,329.0,2.0,2.0,289.58,0.0,0.0,90.0,4767.0,None,Clouds,overcast clouds
2012-10-02 12:00:00,20.0,66.0,3.0,329.0,5.0,5.0,290.13,0.0,0.0,90.0,5026.0,None,Clouds,overcast clouds
2012-10-02 13:00:00,281.0,65.0,3.0,329.0,7.0,7.0,291.14,0.0,0.0,75.0,4918.0,None,Clouds,broken clouds
2012-10-02 14:00:00,23.0,65.0,3.0,328.0,6.0,6.0,291.72,0.0,0.0,1.0,5181.0,None,Clear,sky is clear
2012-10-02 15:00:00,184.0,64.0,3.0,328.0,7.0,7.0,293.17,0.0,0.0,1.0,5584.0,None,Clear,sky is clear
2012-10-02 16:00:00,167.0,64.0,3.0,327.0,7.0,7.0,293.86,0.0,0.0,1.0,6015.0,None,Clear,sky is clear
2012-10-02 17:00:00,119.0,63.0,3.0,327.0,6.0,6.0,294.14,0.0,0.0,20.0,5791.0,None,Clouds,few clouds
2012-10-02 18:00:00,161.0,63.0,3.0,326.0,3.0,3.0,293.1,0.0,0.0,20.0,4770.0,None,Clouds,few clouds
2012-10-02 19:00:00,243.0,62.0,3.0,326.0,8.0,8.0,290.97,0.0,0.0,20.0,3539.0,None,Clouds,few clouds
2012-10-02 20:00:00,150.0,62.0,3.0,326.0,5.0,5.0,289.38,0.0,0.0,1.0,2784.0,None,Clear,sky is clear
2012-10-02 21:00:00,128.0,61.0,4.0,325.0,4.0,4.0,288.61,0.0,0.0,1.0,2361.0,None,Clear,sky is clear
2012-10-02 22:00:00,18.0,61.0,4.0,325.0,7.0,7.0,287.16,0.0,0.0,1.0,1529.0,None,Clear,sky is clear
2012-10-02 23:00:00,186.0,60.0,4.0,324.0,5.0,5.0,285.45,0.0,0.0,1.0,963.0,None,Clear,sky is clear
